state,Asian,Black,Hispanic,Native American,Other,White,Total, NA, full_state
AK,0,1,0,5,0,2,8,5,Alaska
AL,0,11,1,0,0,16,28,0,Alabama
AR,0,7,0,0,0,5,12
AZ,0,4,6,0,1,14,25
CA,6,62,63,2,1,83,217
CO,0,2,2,0,0,7,11
CT,0,13,2,0,1,3,19
DC,0,15,2,0,0,6,23
DE,0,3,0,0,0,0,3
FL,0,33,6,0,1,40,80
GA,0,20,1,0,0,18,39
HI,0,1,0,0,2,1,4
IA,0,5,0,0,0,11,16
ID,0,0,1,1,0,4,6
IL,1,254,44,0,0,37,336
IN,0,16,0,0,0,22,38
KS,0,5,0,0,0,13,18
KY,0,6,1,0,0,16,23
LA,0,54,1,0,0,11,66
MA,1,27,9,1,1,37,76
MD,4,32,0,0,0,8,44
ME,0,0,0,0,0,4,4
MI,0,70,1,0,4,45,120
MN,1,6,0,1,0,10,18
MO,0,28,1,0,0,24,53
MS,0,17,0,0,0,5,22
MT,0,1,0,0,0,14,15
NC,0,49,2,0,0,14,65
ND,0,0,2,0,0,3,5
NE,0,0,1,0,0,8,9
NH,0,0,0,0,0,2,2
NJ,0,29,5,0,0,8,42
NM,0,1,3,0,0,7,11
NV,0,10,1,0,0,10,21
NY,5,155,59,1,2,76,298
OH,0,50,1,0,0,34,85
OK,0,16,0,3,0,19,38
OR,0,2,1,0,0,18,21
PA,2,54,4,0,0,35,95
RI,0,0,2,0,0,2,4
SC,0,6,0,0,0,2,8
SD,0,1,1,0,0,4,6
TN,1,10,0,0,0,18,29
TX,7,178,75,0,1,128,389
UT,0,2,1,0,0,15,18
VA,0,29,1,0,0,27,57
VT,0,0,0,0,0,3,3
WA,0,10,2,3,1,36,52
WI,0,25,2,2,0,33,62
WV,0,3,0,0,0,8,11
WY,0,1,0,0,0,3,4
